NCBI Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)
100506393	
	
	
	
400456	
100874239	
	
	
	
105370004	
	
651302	
	
105373615	
	
27442	
64735	
	
	
	
	
109729164	
	
100874267	
100189035	
	
56116	
8681	
	
	
	
100189136	
	
	
107984977	
	
100873990	
	
	
	
	
	
	
	
	
	
	
	
	
	
79667	
	
100189184	
5183	
100188990	
	
	
	
	
100189124	
	
	
	
	
	
	
54090	
54075	
	
	
101927678	
23739	
101928476	
105373647	
	
140848	
	
	
	
338817	
	
94150	
	
	
	
	
100652749	
106478965	
	
101929826	
	
	
	
	
	
	
	
101928022	
100507008	
100874084	
107984995	
	
	
	
100874300	
	
	
100506443	
	
100507616	
	
	
	
100874306	
100874364	
	
105369948	
	
	
101927701	
	
104355133	
	
94154	
	
	
	
	
	
	
100189252	
	
102724001	
100874353	
	
	
	
	
	
106480190	
	
	
6054	
	
	
	
	
	
	
104326058	
100132501	
	
	
	
107985985	
100527960	
100189030	
	
	
	
	
	
4575	
	
	
	
	
	
	
	
	
2988	
	
	
105373536	
	
102723619	
105369347	
105371027	
	
	
282	
413	
	
	
	
	
1055	
	
	
1279	
	
	
105373962	
105376871	
	
	
	
	
100874273	
105371479	
	
	
	
	
	
	
	
	
	
	
94017	
339988	
	
414765	
	
	
100505494	
3197	
	
	
	
105369929	
	
	
	
	
107985471	
	
	
	
389043	
	
	
	
	
105378889	
	
	
	
	
101928190	
	
	
	
	
	
	
	
	
	
	
	
	
100874030	
	
	
	
	
100507410	
105374272	
	
100874150	
	
	
	
	
	
	
	
	
	
	
	
104355294	
	
	
	
104355291	
	
105372457	
100507201	
	
	
100189237	
7435	
	
100128139	
	
	
102724406	
105369449	
	
100189123	
	
	
106144544	
	
	
107985307	
	
	
100874175	
	
101926967	
	
	
100874321	
	
132532400	
100189163	
	
	
100873920	
	
	
105378049	
	
	
	
	
	
	
7239	
	
105377606	
	
101927917	
	
	
	
	
	
100862680	
	
100189149	
	
	
	
	
100874077	
257358	
	
	
102724208	
440704	
100874269	
102723567	
100189333	
100874245	
100874159	
100131320	
339822	
100507140	
101926903	
100189166	
105377301	
105376606	
100189417	
100874051	
100874007	
102724294	
101927279	
107987337	
100874356	
101927479	
100189271	
100874312	
105377389	
400728	
644248	
100874033	
103724390	
105369717	
100874284	
105371582	
105378217	
102725541	
100874043	
	
107986100	
101928158	
100874157	
105372840	
102724433	
730971	
100506195	
102800446	
728040	
109729138	
101927498	
	
100506681	
101927808	
100874214	
101927331	
	
116933	
100506915	
151009	
105376554	
100861513	
101927624	
105375037	
100874158	
100873949	
	
100852410	
105378960	
100873997	
	
105374895	
100874116	
105370357	
103091866	
645553	
100506724	
	
100132612	
105379132	
105374624	
101930746	
105378788	
102723605	
104355290	
100189463	
101929181	
105374155	
102682016	
106144585	
101928776	
144742	
101929074	
101927351	
101927642	
122152329	
105369490	
105370731	
101928545	
105379006	
104355426	
105379069	
	
100189138	
101928536	
106480742	
124900385	
100189364	
101927542	
102725509	
	
100874243	
100506749	
101928104	
386627	
285577	
100874075	
101929582	
105372589	
645355	
100507066	
103689912	
400945	
101928399	
100506054	
100874323	
105378580	
100189081	
101927433	
100189084	
100507040	
106144524	
100874111	
105372779	
105376162	
101928969	
100874147	
100873993	
105369906	
	
101927295	
101927693	
100506035	
109729136	
105374419	
103689845	
100874022	
100506826	
107985195	
102723854	
103689844	
105370479	
105372746	
100189349	
105375382	
100189308	
100189078	
101928707	
100996579	
100616530	
100049613	
101927416	
439994	
100874222	
102723430	
105373885	
107986226	
106480738	
101928971	
105374540	
107080627	
388942	
100129995	
100189206	
128071535	
107984474	
105378701	
105372893	
101928241	
100874173	
100189073	
100652759	
106144578	
285708	
101929531	
100189270	
	
105375405	
110806303	
100874218	
100189086	
100507428	
100996342	
101927577	
100856811	
100189125	
101928043	
	
105373199	
107080554	
121232372	
100874327	
100128688	
54088	
54082	
100551499	
54064	
100506475	
101927832	
105377373	
100874137	
101927084	
101927217	
100874351	
100189466	
100859921	
140846	
100189313	
101927682	
101927900	
140865	
101928656	
100852406	
54147	
101927219	
100874025	
105371927	
642864	
100874350	
340017	
100874122	
109729137	
101928284	
102724698	
100189401	
124904311	
100506504	
105369379	
107985730	
286186	
645949	
105374774	
100873922	
105375616	
100873980	
94151	
101929198	
107985924	
100874063	
105377031	
100874068	
105371560	
105377338	
105371008	
101929238	
100874194	
100287728	
105377585	
100874242	
100507612	
101928744	
101928228	
100874275	
107985818	
101929468	
349408	
254128	
105377512	
100506157	
100873946	
100505624	
100507489	
100861518	
101927891	
100862662	
100874292	
106144599	
100129060	
100289509	
	
100506637	
100874086	
105370439	
105377105	
101927922	
107075116	
105370400	
105376814	
101927821	
110255170	
101928165	
100507206	
100507254	
100874180	
100422737	
	
101928840	
101410534	
125177376	
106480741	
110806274	
105374289	
100861545	
105372080	
100874338	
100189372	
105370623	
151877	
100874237	
103724388	
105370445	
101929467	
100134259	
105373904	
105371994	
104355217	
105369343	
107986496	
106144592	
104384744	
	
105373818	
105372550	
106144530	
	
100874161	
286238	
105375726	
105371586	
